episode,reward,mttd,mttr,fpr,csr,compromised
1,-930.08,8,200,0.0287,0,0
2,-90.97,8,19,0.0269,1,2
3,-63.27,7,20,0.0229,1,2
4,-118.12,9,32,0.0267,1,1
5,-75.07,9,18,0.0250,1,1
6,-199.59,6,46,0.0281,1,1
7,-45.04,9,16,0.0235,1,1
8,-958.59,9,200,0.0288,0,0
9,-141.97,8,31,0.0305,1,1
10,-128.38,6,26,0.0320,1,1
11,-187.65,8,43,0.0294,1,1
12,-1016.49,8,200,0.0288,0,0
13,-97.62,15,16,0.0334,1,1
14,-157.90,12,36,0.0295,1,1
15,-945.15,8,200,0.0277,0,0
16,-136.05,7,37,0.0240,1,1
17,-37.49,10,12,0.0213,1,1
18,-38.10,5,16,0.0205,1,3
19,-87.92,10,27,0.0255,1,1
20,-998.09,16,200,0.0294,0,0
21,-73.85,9,17,0.0323,1,4
22,-117.38,11,36,0.0243,1,1
23,-940.95,7,200,0.0278,0,0
24,-944.72,4,200,0.0284,0,0
25,-157.58,5,45,0.0239,1,1
26,-126.74,4,29,0.0256,1,1
27,-118.35,9,29,0.0252,1,1
28,-97.34,12,22,0.0294,1,1
29,-58.52,8,200,0.0197,0,3
30,-115.54,10,30,0.0252,1,1
31,-118.89,9,38,0.0242,1,2
32,-950.37,17,200,0.0279,0,0
33,-55.62,15,15,0.0250,1,1
34,-63.74,14,15,0.0293,1,1
35,-103.03,9,25,0.0269,1,1
36,-98.66,8,36,0.0194,1,1
37,-220.10,7,63,0.0244,1,1
38,-97.69,5,200,0.0321,0,3
39,-121.64,5,34,0.0249,1,1
40,-13.82,6,7,0.0199,1,1
41,-185.40,10,36,0.0318,1,1
42,-101.74,5,34,0.0224,1,1
43,-106.47,10,31,0.0255,1,1
44,-110.49,29,31,0.0275,1,1
45,-115.73,9,29,0.0272,1,1
46,-53.32,5,200,0.0241,0,2
47,-120.46,11,21,0.0398,1,3
48,-200.60,6,46,0.0278,1,1
49,-15.17,6,7,0.0290,1,1
50,-62.83,9,200,0.0209,0,5
51,-161.74,11,47,0.0261,1,1
52,-117.16,5,29,0.0248,1,1
53,-116.04,9,24,0.0306,1,1
54,-136.32,8,38,0.0259,1,1
55,-128.50,8,26,0.0323,1,1
56,-168.48,23,53,0.0224,1,1
57,-43.16,6,13,0.0224,1,4
58,-248.96,14,53,0.0277,1,1
59,-89.96,7,200,0.0326,0,6
60,-36.64,9,11,0.0275,1,1
61,-60.80,8,25,0.0216,1,3
62,-49.04,8,16,0.0225,1,4
