episode,reward,mttd,mttr,fpr,csr,compromised
1,-210.21,10,37,0.0317,1,1
2,-115.54,7,22,0.0306,1,1
3,-149.78,5,38,0.0236,1,1
4,-97.63,7,26,0.0232,1,2
5,-205.29,8,39,0.0295,1,1
6,-230.31,13,43,0.0308,1,1
7,-112.31,7,28,0.0254,1,1
8,-63.54,9,15,0.0265,1,2
9,-628.62,6,200,0.0184,0,0
10,-14.06,7,20,0.0086,1,2
11,-6.33,11,36,0.0045,1,3
12,-4.10,24,24,0.0042,1,1
13,-22.55,7,44,0.0083,1,1
14,-5.32,7,19,0.0080,1,3
15,-19.98,13,47,0.0058,1,3
16,-5.15,9,24,0.0052,1,4
17,-1.62,35,39,0.0039,1,3
18,-3.81,24,37,0.0037,1,2
19,-14.47,9,26,0.0082,1,5
20,-17.93,14,68,0.0046,1,1
21,-13.42,9,51,0.0051,1,5
22,-13.70,8,67,0.0028,1,2
23,-6.08,6,25,0.0073,1,5
24,-20.30,4,200,0.0045,0,4
25,-6.03,10,33,0.0038,1,2
26,-17.76,10,200,0.0041,0,3
27,6.21,4,20,0.0038,1,9
28,-4.02,13,20,0.0101,1,3
29,0.34,13,19,0.0047,1,3
30,-35.67,22,94,0.0044,1,2
31,6.62,12,31,0.0027,1,4
32,-12.90,7,46,0.0035,1,1
33,-7.22,11,37,0.0059,1,3
34,-0.17,16,30,0.0031,1,3
35,1.76,9,9,0.0114,1,1
36,-10.43,8,54,0.0029,1,3
37,-6.85,7,35,0.0045,1,4
38,-18.46,6,43,0.0057,1,2
39,-1.52,8,22,0.0051,1,4
40,2.31,8,14,0.0072,1,3
41,-14.74,27,36,0.0057,1,1
42,-7.35,9,26,0.0072,1,2
43,-6.92,39,59,0.0025,1,2
44,-3.22,29,31,0.0054,1,3
45,-25.75,9,76,0.0049,1,6
46,4.45,9,10,0.0090,1,3
47,3.24,7,32,0.0021,1,3
48,-1.53,10,25,0.0035,1,3
49,-10.39,11,61,0.0037,1,2
50,-25.60,14,58,0.0050,1,2
51,-25.09,18,43,0.0087,1,3
52,8.69,11,11,0.0030,1,1
53,-24.02,16,68,0.0050,1,2
54,-22.13,10,62,0.0050,1,4
55,-15.72,16,59,0.0037,1,1
56,-2.49,28,35,0.0040,1,3
57,-5.21,17,34,0.0049,1,2
58,3.52,6,16,0.0032,1,3
59,5.10,8,34,0.0020,1,3
60,0.92,8,23,0.0036,1,2
61,8.75,4,4,0.0000,1,1
62,-36.19,29,52,0.0061,1,4
63,-12.98,11,58,0.0032,1,2
64,-19.80,7,69,0.0030,1,1
65,-16.90,13,39,0.0067,1,3
66,-12.80,14,45,0.0064,1,3
67,-1.19,8,35,0.0032,1,4
68,-0.82,24,33,0.0051,1,3
69,-10.29,9,81,0.0043,1,2
70,-10.57,21,32,0.0058,1,2
71,-7.99,20,59,0.0038,1,3
72,2.31,10,27,0.0038,1,3
73,-9.52,5,38,0.0042,1,4
74,-16.17,7,61,0.0048,1,5
75,-7.77,7,36,0.0043,1,4
76,-8.04,8,38,0.0049,1,2
77,-0.49,15,43,0.0029,1,4
78,-0.01,5,5,0.0145,1,1
79,2.44,10,10,0.0074,1,1
80,-4.86,12,30,0.0043,1,3
81,-13.21,7,200,0.0042,0,5
82,-7.55,7,200,0.0019,0,8
83,-4.19,8,28,0.0043,1,3
84,-10.23,13,42,0.0048,1,2
85,-3.61,13,25,0.0057,1,5
86,2.76,5,40,0.0025,1,4
87,-12.47,8,19,0.0103,1,2
88,-7.01,12,42,0.0060,1,8
89,4.67,7,14,0.0042,1,3
90,6.51,16,16,0.0009,1,1
91,-8.85,17,76,0.0020,1,4
92,1.70,11,33,0.0034,1,3
93,-3.03,16,42,0.0034,1,6
94,7.46,7,15,0.0011,1,3
95,-7.07,29,50,0.0032,1,3
96,-11.66,15,52,0.0042,1,4
97,-26.40,13,200,0.0041,0,5
98,-0.30,9,42,0.0023,1,3
99,5.79,5,30,0.0011,1,4
100,-0.79,5,51,0.0029,1,6
101,5.07,7,12,0.0016,1,2
102,-20.81,10,76,0.0032,1,5
103,1.59,8,30,0.0032,1,5
104,0.11,11,45,0.0029,1,6
105,6.79,14,18,0.0016,1,4
106,8.68,10,17,0.0025,1,5
107,-17.28,10,200,0.0061,0,6
108,9.00,4,4,0.0000,1,1
109,-15.82,5,200,0.0040,0,5
110,6.90,15,21,0.0019,1,3
111,-9.10,12,65,0.0032,1,4
112,-8.09,18,60,0.0023,1,2
113,-5.66,10,56,0.0030,1,2
114,-12.33,7,200,0.0026,0,8
115,2.22,6,24,0.0046,1,5
116,-8.41,13,68,0.0025,1,2
117,-10.67,6,64,0.0037,1,3
118,-40.09,11,90,0.0049,1,1
119,-25.13,9,92,0.0040,1,2
120,1.97,12,23,0.0041,1,5
121,-6.62,15,40,0.0033,1,3
122,-9.57,11,52,0.0039,1,2
123,-12.65,9,51,0.0032,1,3
124,1.21,15,15,0.0084,1,1
125,7.61,10,18,0.0018,1,3
126,-1.71,12,25,0.0036,1,2
127,-1.81,18,54,0.0028,1,5
128,-16.26,9,47,0.0047,1,6
129,-6.03,8,40,0.0031,1,5
130,-7.64,9,31,0.0058,1,3
131,-9.96,13,53,0.0050,1,1
132,-4.66,4,23,0.0049,1,2
133,-0.33,6,38,0.0009,1,3
134,8.58,11,28,0.0016,1,5
135,-30.35,27,133,0.0025,1,1
136,-17.39,5,200,0.0031,0,6
137,-5.34,13,53,0.0026,1,4
138,-19.66,5,200,0.0036,0,4
139,9.36,7,26,0.0012,1,4
140,10.28,12,30,0.0006,1,5
141,-11.32,22,121,0.0026,1,2
142,-3.30,14,33,0.0034,1,4
143,7.23,10,29,0.0007,1,4
144,-2.59,12,39,0.0038,1,3
145,-3.71,19,41,0.0021,1,5
146,2.76,12,27,0.0020,1,3
147,-18.54,15,200,0.0032,0,4
148,5.17,12,35,0.0015,1,6
149,0.09,5,30,0.0033,1,4
150,-5.32,21,53,0.0029,1,4
151,4.52,5,24,0.0014,1,4
152,2.11,15,15,0.0056,1,1
153,10.55,4,5,0.0042,1,2
154,-18.81,8,60,0.0048,1,7
155,-5.04,22,55,0.0023,1,2
156,-0.98,20,59,0.0020,1,7
157,9.56,12,14,0.0006,1,3
158,-0.95,18,37,0.0026,1,3
159,-21.82,12,200,0.0030,0,6
160,0.05,11,37,0.0036,1,4
161,-12.63,6,83,0.0024,1,4
162,1.09,17,47,0.0031,1,3
163,3.24,4,30,0.0013,1,3
164,6.05,7,26,0.0009,1,5
165,2.42,16,23,0.0032,1,2
166,-4.59,23,75,0.0013,1,4
167,8.34,12,12,0.0017,1,2
168,1.14,7,48,0.0012,1,3
169,12.59,8,8,0.0000,1,3
170,-2.64,11,36,0.0034,1,4
171,0.48,8,30,0.0044,1,2
172,2.25,14,41,0.0015,1,5
173,-7.80,14,55,0.0037,1,2
174,0.73,9,18,0.0048,1,1
175,-18.58,5,200,0.0029,0,5
176,4.82,7,26,0.0011,1,4
177,-10.64,8,52,0.0031,1,3
178,-7.87,14,64,0.0020,1,2
179,-13.99,25,82,0.0022,1,2
180,-2.03,14,26,0.0045,1,3
181,-5.04,9,56,0.0023,1,3
182,-0.03,24,44,0.0023,1,3
183,-4.10,12,33,0.0033,1,3
184,-5.03,6,44,0.0032,1,2
185,-3.09,11,73,0.0024,1,3
186,1.54,12,35,0.0029,1,5
187,4.77,4,4,0.0089,1,1
188,-14.88,13,200,0.0028,0,3
189,8.29,13,24,0.0029,1,5
190,1.83,9,46,0.0014,1,5
191,-0.42,15,22,0.0048,1,4
192,1.17,6,26,0.0036,1,2
193,0.11,34,44,0.0019,1,5
194,7.94,11,23,0.0000,1,2
195,8.93,10,30,0.0018,1,4
196,-11.26,8,200,0.0013,0,6
197,-8.40,7,85,0.0021,1,3
198,-3.70,8,90,0.0015,1,3
