episode,reward,mttd,mttr,fpr,csr,compromised
1,-139.85,8,28,0.0280,1,1
2,-64.02,6,17,0.0238,1,1
3,-902.05,10,200,0.0240,0,0
4,-653.58,12,200,0.0194,0,0
5,-85.47,16,179,0.0048,1,1
6,-56.57,7,200,0.0047,0,6
7,-39.52,57,70,0.0064,1,2
8,-62.05,9,136,0.0054,1,1
9,-13.73,40,50,0.0038,1,4
10,-50.59,18,126,0.0052,1,3
11,-84.80,40,200,0.0044,0,0
12,-101.12,27,200,0.0053,0,1
13,-17.72,12,200,0.0041,0,7
14,-111.05,13,200,0.0057,0,1
15,-83.24,58,173,0.0055,1,3
16,-81.07,10,160,0.0047,1,1
17,-54.59,6,181,0.0035,1,2
18,-80.85,16,200,0.0037,0,1
19,-83.77,16,200,0.0040,0,2
20,-38.03,21,156,0.0025,1,3
21,-51.22,19,166,0.0038,1,1
22,-72.84,11,161,0.0052,1,4
23,-83.55,17,200,0.0039,0,1
24,-50.78,23,200,0.0022,0,7
25,-34.01,11,139,0.0034,1,3
26,-5.70,26,75,0.0023,1,3
27,-69.31,19,192,0.0042,1,2
28,-5.67,26,66,0.0030,1,3
29,-36.60,67,158,0.0027,1,3
30,-62.27,12,200,0.0032,0,1
31,-6.40,9,47,0.0046,1,4
32,-62.80,107,200,0.0030,0,4
33,-55.37,22,200,0.0022,0,2
34,-58.67,21,195,0.0040,1,4
35,-39.26,43,195,0.0028,1,3
36,-11.83,40,71,0.0030,1,3
37,-29.35,16,120,0.0033,1,2
38,-18.47,19,93,0.0030,1,4
39,-72.48,41,200,0.0036,0,1
40,-27.32,11,107,0.0032,1,3
41,-15.95,12,76,0.0025,1,3
42,1.97,29,35,0.0018,1,1
43,-61.87,45,200,0.0027,0,2
44,-60.96,77,200,0.0028,0,1
45,-37.55,17,170,0.0026,1,2
46,-52.62,32,200,0.0028,0,4
47,7.45,11,11,0.0025,1,1
48,-41.84,14,200,0.0020,0,3
49,-34.04,11,200,0.0018,0,1
50,-28.94,24,140,0.0023,1,4
51,-71.19,14,200,0.0035,0,3
52,-38.04,37,168,0.0030,1,4
53,-27.68,35,150,0.0019,1,3
54,-30.65,47,145,0.0019,1,3
55,-12.32,67,91,0.0020,1,2
56,-16.37,7,85,0.0036,1,5
57,-37.47,24,174,0.0023,1,2
58,-49.71,36,200,0.0027,0,2
59,-25.51,7,137,0.0020,1,1
60,-42.04,12,200,0.0016,0,2
61,-40.93,6,200,0.0019,0,5
62,-20.78,7,159,0.0018,1,4
63,-47.21,35,190,0.0027,1,2
64,-21.83,10,146,0.0024,1,4
65,-50.00,61,200,0.0019,0,3
66,-40.95,42,200,0.0025,0,4
67,-31.03,50,200,0.0017,0,4
68,-46.17,54,200,0.0021,0,4
69,-35.30,12,200,0.0016,0,3
70,-43.78,9,200,0.0025,0,4
71,-39.94,19,200,0.0017,0,6
72,-42.46,6,200,0.0019,0,6
73,-28.91,19,200,0.0098,0,9
74,-27.64,19,130,0.0026,1,2
75,-58.90,75,200,0.0027,0,3
76,-39.54,6,130,0.0034,1,4
77,-30.58,22,200,0.0014,0,4
78,-39.04,34,200,0.0014,0,4
79,-20.84,18,44,0.0069,1,4
80,-42.35,6,200,0.0022,0,4
81,-28.34,26,91,0.0042,1,2
82,-77.21,19,200,0.0035,0,2
83,-42.94,13,200,0.0024,0,4
84,-46.71,4,200,0.0017,0,4
85,-57.95,4,200,0.0033,0,3
86,-34.07,21,187,0.0019,1,3
87,-13.17,4,200,0.0016,0,6
88,-95.51,42,200,0.0044,0,1
89,-12.59,4,89,0.0020,1,3
90,-43.84,8,111,0.0041,1,3
91,-87.92,72,200,0.0039,0,3
92,-58.30,74,200,0.0031,0,3
93,-44.32,20,200,0.0024,0,5
