episode,reward,mttd,mttr,fpr,csr,compromised
1,-115.93,12,22,0.0322,1,1
2,-279.36,11,60,0.0276,1,1
3,-67.15,11,22,0.0227,1,1
4,-72.70,8,12,0.0501,1,1
5,-91.45,8,32,0.0212,1,1
6,-88.19,12,19,0.0308,1,2
7,-104.88,6,29,0.0236,1,1
8,-224.23,7,46,0.0317,1,1
9,-933.36,8,200,0.0290,0,0
10,-128.88,13,32,0.0277,1,1
11,-33.77,12,13,0.0297,1,1
12,-219.15,7,52,0.0286,1,1
13,-91.86,13,21,0.0307,1,1
14,-80.67,10,200,0.0261,0,3
15,-903.53,11,200,0.0277,0,0
16,-104.26,6,24,0.0291,1,1
17,-950.09,12,200,0.0279,0,0
18,-68.47,5,22,0.0222,1,2
19,-188.36,5,46,0.0269,1,1
20,-902.88,8,200,0.0272,0,0
21,-104.83,7,23,0.0305,1,1
22,-90.57,7,15,0.0371,1,2
23,-177.11,10,57,0.0218,1,2
24,-67.62,19,19,0.0253,1,1
25,-213.05,6,52,0.0245,1,1
26,-911.36,7,200,0.0266,0,0
27,-82.10,8,22,0.0302,1,2
28,-902.04,10,200,0.0261,0,0
29,-926.65,6,200,0.0277,0,0
30,-94.03,8,200,0.0280,0,2
31,-46.33,4,8,0.0351,1,2
32,-79.59,4,200,0.0254,0,6
33,-141.23,11,38,0.0247,1,1
34,-850.13,17,200,0.0269,0,0
35,-865.59,4,200,0.0257,0,0
36,-122.67,11,44,0.0219,1,1
37,-126.36,6,25,0.0306,1,1
38,-58.60,6,14,0.0251,1,1
39,-78.77,11,20,0.0274,1,1
40,-69.44,13,200,0.0267,0,7
41,-813.72,16,200,0.0247,0,0
42,-75.27,8,24,0.0234,1,1
43,-139.99,29,35,0.0276,1,1
44,-1015.95,10,200,0.0287,0,0
45,-779.90,29,200,0.0252,0,0
46,-28.82,5,5,0.0380,1,1
47,-72.34,7,25,0.0213,1,1
48,-70.03,9,13,0.0383,1,3
49,-83.03,5,200,0.0226,0,3
50,-57.76,7,20,0.0238,1,1
51,-161.63,8,51,0.0241,1,1
52,-66.62,19,19,0.0257,1,1
53,-8.14,11,12,0.0157,1,1
54,-59.04,15,23,0.0187,1,1
55,-49.60,15,200,0.0174,0,6
56,-78.62,16,27,0.0184,1,1
57,-58.60,24,27,0.0196,1,3
58,-82.86,7,20,0.0267,1,1
59,-69.19,9,34,0.0177,1,1
60,-154.37,12,36,0.0275,1,1
61,-660.86,8,200,0.0215,0,0
62,-123.90,7,47,0.0208,1,1
63,-69.05,6,34,0.0193,1,1
64,-57.02,15,32,0.0161,1,1
65,-581.74,17,200,0.0199,0,0
66,-483.85,35,200,0.0190,0,0
67,-75.86,11,29,0.0207,1,1
68,-61.51,21,27,0.0163,1,2
69,-92.61,12,25,0.0260,1,1
70,-496.60,5,200,0.0186,0,0
71,-479.64,8,200,0.0188,0,0
72,-113.00,10,42,0.0216,1,1
73,-113.40,9,49,0.0179,1,1
74,-79.84,13,200,0.0222,0,8
