episode,reward,mttd,mttr,fpr,csr,compromised
1,-96.58,8,21,0.0263,1,1
2,-82.27,9,200,0.0304,0,8
3,-89.08,10,25,0.0216,1,1
4,-93.36,9,27,0.0215,1,1
5,-228.65,11,45,0.0279,1,1
6,-91.15,7,26,0.0210,1,1
7,-113.83,7,26,0.0256,1,1
8,-134.95,5,35,0.0224,1,1
9,-97.87,8,22,0.0265,1,1
10,-126.07,10,28,0.0254,1,1
11,-93.08,6,200,0.0276,0,5
12,-155.42,11,33,0.0284,1,1
13,-985.69,8,200,0.0261,0,0
14,-967.38,7,200,0.0258,0,0
15,-47.33,10,15,0.0219,1,2
16,-1005.07,14,200,0.0269,0,0
17,-65.82,15,17,0.0250,1,1
18,-110.65,8,24,0.0270,1,1
19,-105.11,9,200,0.0227,0,1
20,-174.40,9,54,0.0184,1,1
21,-85.70,13,21,0.0240,1,3
22,-82.68,6,19,0.0268,1,1
23,-961.93,7,200,0.0256,0,0
24,-151.03,5,29,0.0301,1,1
25,-38.99,9,12,0.0241,1,2
26,-115.02,10,20,0.0343,1,2
27,-40.28,7,13,0.0216,1,1
28,-970.44,6,200,0.0264,0,0
29,-137.62,12,30,0.0265,1,1
30,-894.88,10,200,0.0245,0,0
31,-953.13,8,200,0.0252,0,0
32,-86.85,6,20,0.0275,1,3
33,-83.06,8,23,0.0220,1,1
34,-44.61,7,200,0.0162,0,8
35,-95.95,7,27,0.0219,1,1
36,-303.18,4,64,0.0259,1,1
37,-106.00,6,26,0.0246,1,1
38,-242.00,9,63,0.0220,1,1
39,-90.59,11,21,0.0268,1,1
40,-73.74,8,14,0.0325,1,2
41,-75.00,4,21,0.0214,1,2
42,-78.37,8,200,0.0222,0,2
43,-120.32,11,26,0.0269,1,2
44,-102.78,12,31,0.0193,1,1
45,-187.51,10,50,0.0213,1,1
46,-127.74,10,33,0.0220,1,1
47,-157.68,9,31,0.0287,1,1
48,-918.64,11,200,0.0248,0,0
49,-71.82,10,19,0.0245,1,1
50,-906.33,12,200,0.0240,0,0
51,-93.58,10,20,0.0274,1,1
52,-141.14,11,39,0.0227,1,1
53,-100.06,8,28,0.0212,1,1
54,-100.99,5,25,0.0257,1,2
55,-121.92,8,25,0.0280,1,1
56,-120.40,5,28,0.0263,1,1
57,-98.47,14,20,0.0287,1,2
58,-138.18,8,30,0.0266,1,1
59,-43.78,6,10,0.0271,1,2
60,-96.34,7,200,0.0333,0,3
61,-967.08,14,200,0.0264,0,0
62,-74.70,8,200,0.0217,0,5
63,-52.81,4,9,0.0420,1,3
64,-114.65,4,28,0.0239,1,1
65,-75.99,5,21,0.0214,1,1
66,-171.96,9,40,0.0241,1,1
67,-133.78,6,33,0.0227,1,1
68,-48.76,6,11,0.0298,1,3
69,-109.58,4,20,0.0324,1,1
70,-77.79,5,19,0.0250,1,1
71,-83.61,7,24,0.0216,1,2
72,-109.62,6,200,0.0316,0,2
73,-111.48,5,26,0.0254,1,1
74,-89.18,7,16,0.0327,1,1
75,-903.51,8,200,0.0243,0,0
76,-37.89,5,11,0.0221,1,1
77,-74.38,5,19,0.0247,1,1
78,-136.17,8,30,0.0274,1,1
79,-104.95,9,22,0.0287,1,2
80,-219.44,9,52,0.0235,1,1
81,-157.62,8,37,0.0250,1,1
82,-51.47,11,17,0.0189,1,1
83,-60.44,16,20,0.0197,1,1
84,-148.04,7,37,0.0236,1,1
85,-894.12,10,200,0.0244,0,0
86,-79.05,4,200,0.0273,0,1
87,-128.34,7,29,0.0252,1,1
88,-82.67,11,23,0.0214,1,1
89,-903.92,18,200,0.0243,0,0
90,-157.20,8,32,0.0284,1,1
91,-130.21,6,32,0.0235,1,1
92,-86.90,9,21,0.0264,1,1
93,-141.37,4,32,0.0259,1,1
94,-136.79,5,29,0.0268,1,1
95,-36.81,8,13,0.0195,1,1
96,-967.49,10,200,0.0259,0,0
97,-106.08,7,23,0.0255,1,1
98,-189.44,9,45,0.0241,1,1
99,-64.69,13,17,0.0238,1,1
100,-41.05,8,11,0.0255,1,1
101,-145.28,11,31,0.0279,1,1
102,-139.83,14,36,0.0223,1,2
103,-939.15,9,200,0.0252,0,0
104,-927.07,10,200,0.0248,0,0
105,-114.98,8,28,0.0254,1,1
106,-18.40,5,10,0.0165,1,3
107,-68.97,5,24,0.0181,1,2
108,-169.62,11,42,0.0225,1,1
109,-114.71,11,34,0.0202,1,1
110,-346.79,14,67,0.0289,1,1
111,-975.81,9,200,0.0259,0,0
112,-118.44,5,29,0.0238,1,1
113,-275.95,11,57,0.0274,1,1
114,-124.94,5,27,0.0285,1,1
115,-965.97,6,200,0.0259,0,0
116,-299.04,7,59,0.0277,1,1
117,-102.02,5,24,0.0262,1,1
118,-949.83,7,200,0.0250,0,0
119,-87.10,8,23,0.0228,1,1
120,-157.83,9,30,0.0301,1,1
121,-103.79,9,21,0.0309,1,1
122,-98.75,9,200,0.0297,0,7
123,-69.40,10,200,0.0263,0,7
124,-92.33,6,27,0.0217,1,1
125,-934.21,7,200,0.0251,0,0
