episode,reward,mttd,mttr,fpr,csr,compromised
1,-7.24,7,8,0.0119,1,1
2,-48.35,4,27,0.0115,1,2
3,-30.88,7,19,0.0124,1,2
4,-63.52,15,32,0.0119,1,1
5,-103.17,20,58,0.0099,1,1
6,-8.73,5,10,0.0100,1,3
7,-28.70,4,17,0.0112,1,1
8,-39.41,7,21,0.0124,1,2
9,-34.02,6,20,0.0115,1,1
10,-31.96,6,20,0.0105,1,2
11,-6.93,7,10,0.0100,1,3
12,-403.10,10,200,0.0103,0,0
13,-46.12,9,200,0.0100,0,4
14,-15.81,4,17,0.0088,1,1
15,-75.34,8,39,0.0107,1,2
16,-45.38,7,25,0.0114,1,1
17,-34.17,8,24,0.0092,1,1
18,-33.86,5,21,0.0117,1,3
19,-45.82,8,22,0.0134,1,1
20,-40.43,6,33,0.0080,1,2
21,-36.99,6,25,0.0098,1,2
22,-51.18,5,22,0.0137,1,2
23,-33.38,16,20,0.0113,1,1
24,-24.84,8,19,0.0108,1,2
25,-12.01,7,10,0.0110,1,2
26,-18.88,4,15,0.0093,1,2
27,-464.55,7,200,0.0116,0,0
28,-21.40,11,14,0.0122,1,1
29,-6.45,7,11,0.0082,1,2
30,-445.43,5,200,0.0113,0,0
31,-21.37,16,17,0.0100,1,3
32,-18.86,9,23,0.0081,1,2
33,-17.83,9,11,0.0137,1,2
34,-414.49,6,200,0.0103,0,0
35,-434.75,8,200,0.0108,0,0
36,-19.29,5,17,0.0094,1,1
37,-23.46,10,18,0.0092,1,1
38,-23.81,9,19,0.0095,1,1
39,-26.66,8,200,0.0093,0,4
40,-22.67,8,21,0.0095,1,3
41,-11.52,4,11,0.0100,1,2
42,-53.39,8,32,0.0105,1,1
43,-405.75,12,200,0.0101,0,0
44,-22.88,7,21,0.0086,1,1
45,-58.17,8,33,0.0106,1,1
46,-16.05,7,13,0.0112,1,4
47,-29.56,5,19,0.0105,1,1
48,-32.30,7,20,0.0120,1,2
49,-56.38,6,30,0.0114,1,2
50,-49.77,10,29,0.0104,1,1
51,-17.52,10,15,0.0100,1,1
52,-33.23,7,22,0.0098,1,3
53,-52.05,4,33,0.0085,1,1
54,-15.11,5,11,0.0132,1,2
55,-20.77,10,14,0.0111,1,1
