episode,reward,mttd,mttr,fpr,csr,compromised
1,-1926.83,7,200,0.0499,0,0
2,-255.18,7,27,0.0509,1,1
3,-1996.14,6,200,0.0514,0,0
4,-2058.11,9,200,0.0533,0,0
5,-215.28,9,22,0.0526,1,1
6,-1924.22,10,200,0.0499,0,0
7,-2028.19,23,200,0.0522,0,0
8,-2042.02,8,200,0.0527,0,0
9,-2036.17,5,200,0.0524,0,0
10,-93.81,7,11,0.0497,1,1
11,-2007.73,10,200,0.0519,0,0
12,-2008.70,4,200,0.0519,0,0
13,-125.64,6,200,0.0478,0,4
14,-2024.50,5,200,0.0522,0,0
15,-1984.09,7,200,0.0515,0,0
16,-1969.02,4,200,0.0506,0,0
17,-2023.19,5,200,0.0525,0,0
18,-115.38,9,14,0.0473,1,1
19,-334.24,6,34,0.0531,1,1
20,-1957.99,8,200,0.0504,0,0
21,-227.01,6,25,0.0493,1,1
22,-253.31,9,24,0.0559,1,1
23,-201.39,9,23,0.0475,1,1
24,-1988.68,7,200,0.0511,0,0
25,-170.55,9,18,0.0519,1,1
26,-82.94,5,9,0.0552,1,1
27,-2049.63,8,200,0.0529,0,0
28,-2034.81,6,200,0.0524,0,0
29,-1947.10,7,200,0.0505,0,0
30,-2029.01,8,200,0.0522,0,0
31,-1965.17,4,200,0.0508,0,0
32,-2003.26,11,200,0.0518,0,0
33,-2074.03,11,200,0.0537,0,0
34,-1999.45,9,200,0.0517,0,0
35,-1938.90,12,200,0.0506,0,0
36,-2009.92,4,200,0.0518,0,0
37,-252.60,6,25,0.0545,1,1
38,-1974.85,6,200,0.0509,0,0
39,-2001.78,8,200,0.0518,0,0
40,-2012.80,9,200,0.0520,0,0
41,-1967.04,10,200,0.0506,0,0
42,-85.14,8,8,0.0614,1,1
43,-226.51,10,24,0.0505,1,1
44,-1954.86,8,200,0.0505,0,0
45,-1992.14,9,200,0.0517,0,0
46,-1957.69,9,200,0.0506,0,0
47,-2060.94,9,200,0.0528,0,0
48,-64.25,5,8,0.0470,1,2
49,-33.82,4,4,0.0563,1,1
50,-1971.64,4,200,0.0508,0,0
51,-1963.69,13,200,0.0509,0,0
52,-2117.94,6,200,0.0544,0,0
53,-2015.86,6,200,0.0519,0,0
54,-1960.68,6,200,0.0507,0,0
55,-1914.64,8,200,0.0495,0,0
56,-1991.39,7,200,0.0516,0,0
57,-2022.61,10,200,0.0524,0,0
58,-1996.22,12,200,0.0511,0,0
59,-229.06,6,25,0.0493,1,1
60,-2048.07,5,200,0.0527,0,0
61,-1990.84,8,200,0.0513,0,0
62,-190.51,12,19,0.0538,1,1
63,-1998.08,7,200,0.0516,0,0
64,-179.82,6,20,0.0494,1,1
65,-148.65,6,200,0.0478,0,4
66,-215.46,5,23,0.0504,1,1
67,-307.34,6,33,0.0498,1,1
68,-168.32,7,200,0.0547,0,3
69,-421.04,7,47,0.0476,1,1
70,-2020.34,7,200,0.0522,0,0
71,-138.87,8,15,0.0521,1,1
72,-1986.67,4,200,0.0513,0,0
73,-240.11,8,200,0.0567,0,2
74,-214.72,9,24,0.0484,1,2
75,-2009.21,8,200,0.0522,0,0
76,-210.78,8,200,0.0554,0,1
77,-41.82,5,5,0.0521,1,1
78,-88.25,7,10,0.0506,1,1
79,-2002.91,5,200,0.0517,0,0
80,-1993.10,7,200,0.0514,0,0
81,-101.14,9,10,0.0566,1,1
82,-1982.97,9,200,0.0517,0,0
83,-2004.82,8,200,0.0519,0,0
84,-248.28,9,25,0.0529,1,1
85,-263.38,4,27,0.0524,1,1
86,-1997.81,5,200,0.0515,0,0
87,-2050.89,6,200,0.0528,0,0
88,-1977.60,8,200,0.0511,0,0
89,-2009.36,9,200,0.0520,0,0
90,-2069.05,6,200,0.0535,0,0
91,-1944.12,8,200,0.0505,0,0
