episode,reward,mttd,mttr,fpr,csr,compromised
1,-132.73,10,23,0.0352,1,1
2,-110.19,11,26,0.0317,1,1
3,-131.77,12,27,0.0281,1,1
4,-178.13,9,34,0.0355,1,1
5,-44.74,9,10,0.0332,1,2
6,-87.85,6,18,0.0281,1,3
7,-977.92,7,200,0.0302,0,0
8,-90.28,7,200,0.0313,0,3
9,-78.82,7,29,0.0201,1,1
10,-192.28,6,47,0.0269,1,1
11,-130.41,7,33,0.0261,1,2
12,-909.20,11,200,0.0279,0,0
13,-34.62,8,9,0.0299,1,1
14,-52.10,8,12,0.0349,1,3
15,-174.86,12,41,0.0278,1,1
16,-39.14,5,16,0.0207,1,3
17,-53.89,7,18,0.0220,1,2
18,-231.51,4,54,0.0283,1,1
19,-9.14,4,4,0.0251,1,2
20,-171.41,5,34,0.0293,1,1
21,-879.92,15,200,0.0265,0,0
22,-100.86,12,20,0.0311,1,1
23,-44.74,10,11,0.0296,1,2
24,-47.45,9,14,0.0242,1,2
25,-59.51,7,19,0.0240,1,2
26,-239.78,12,44,0.0314,1,1
27,-77.51,8,15,0.0324,1,2
28,-121.31,8,27,0.0331,1,1
29,-882.36,11,200,0.0267,0,0
30,-64.74,10,11,0.0346,1,2
31,-154.12,8,200,0.0361,0,3
32,-155.80,9,35,0.0276,1,1
33,-161.63,11,51,0.0224,1,1
34,-867.93,7,200,0.0273,0,0
35,-51.05,11,16,0.0232,1,2
36,-167.51,18,43,0.0248,1,1
37,-99.94,7,26,0.0262,1,1
38,-75.96,6,200,0.0261,0,5
39,-40.42,11,18,0.0185,1,1
40,-79.67,6,24,0.0248,1,5
41,-64.47,5,14,0.0324,1,2
42,-878.51,7,200,0.0277,0,0
43,-63.11,6,23,0.0211,1,2
44,-109.83,12,28,0.0283,1,1
45,-180.70,17,45,0.0288,1,1
46,-173.73,12,46,0.0264,1,1
47,-904.45,9,200,0.0280,0,0
48,-893.98,5,200,0.0279,0,0
49,-109.31,7,200,0.0293,0,4
50,-88.08,8,22,0.0266,1,2
51,-51.25,7,12,0.0276,1,2
52,-146.10,6,35,0.0290,1,1
53,-31.62,11,11,0.0293,1,1
54,-108.67,20,24,0.0317,1,1
55,-43.49,7,20,0.0166,1,3
56,-79.77,4,22,0.0242,1,2
57,-55.75,5,16,0.0273,1,4
58,-123.83,9,28,0.0274,1,1
59,-105.52,9,18,0.0332,1,3
60,-894.31,7,200,0.0265,0,0
61,-814.03,10,200,0.0256,0,0
62,-64.69,9,14,0.0280,1,1
63,-107.44,7,34,0.0215,1,1
64,-222.86,8,68,0.0238,1,1
65,-113.22,8,38,0.0234,1,2
66,-40.49,12,14,0.0246,1,2
67,-48.69,11,21,0.0201,1,3
68,-37.73,8,15,0.0242,1,4
69,-81.26,12,21,0.0307,1,1
70,-129.29,16,41,0.0222,1,1
71,-153.62,17,45,0.0260,1,1
72,-44.81,8,18,0.0203,1,1
73,-92.66,4,27,0.0236,1,1
74,-47.11,10,22,0.0191,1,3
75,-106.99,5,46,0.0188,1,1
76,-662.96,8,200,0.0232,0,0
77,-136.95,18,66,0.0199,1,1
78,-87.86,7,40,0.0213,1,2
79,-80.30,6,26,0.0209,1,1
80,-35.72,7,200,0.0132,0,6
81,-74.12,5,29,0.0197,1,1
82,-133.38,9,58,0.0209,1,1
83,-12.14,7,12,0.0120,1,1
84,-50.59,8,19,0.0271,1,1
85,-83.41,22,32,0.0212,1,1
86,-150.65,12,73,0.0176,1,1
87,-586.33,10,200,0.0217,0,0
88,-19.45,6,11,0.0212,1,3
89,-68.77,9,24,0.0206,1,1
