episode,reward,mttd,mttr,fpr,csr,compromised
1,-75.65,9,18,0.0250,1,2
2,-121.60,8,28,0.0260,1,1
3,-4.85,4,4,0.0175,1,1
4,-341.46,13,73,0.0262,1,1
5,-845.89,9,200,0.0235,0,0
6,-86.25,13,17,0.0326,1,1
7,-46.49,6,9,0.0330,1,2
8,-208.19,14,50,0.0238,1,1
9,-111.27,22,30,0.0218,1,2
10,-142.73,6,31,0.0272,1,1
11,-920.99,13,200,0.0253,0,0
12,-30.94,7,8,0.0270,1,2
13,-148.40,5,33,0.0263,1,1
14,-247.24,9,57,0.0252,1,1
15,-70.71,7,21,0.0223,1,3
16,-17.17,5,12,0.0128,1,3
17,-115.74,10,28,0.0245,1,2
18,-823.92,11,200,0.0227,0,0
19,-110.06,13,200,0.0287,0,3
20,-827.62,4,200,0.0226,0,0
21,-184.05,10,41,0.0265,1,1
22,-192.70,15,42,0.0266,1,1
23,-141.66,12,31,0.0279,1,1
24,-85.21,6,19,0.0274,1,1
25,-40.68,5,200,0.0120,0,4
26,-63.73,5,200,0.0216,0,4
27,-47.82,8,19,0.0171,1,1
28,-34.11,7,10,0.0262,1,2
29,-29.11,5,12,0.0176,1,4
30,-125.74,31,37,0.0215,1,2
31,-167.01,6,39,0.0245,1,1
32,-109.27,14,26,0.0252,1,1
33,-146.22,9,29,0.0276,1,1
34,-159.28,11,30,0.0302,1,1
35,-203.91,15,40,0.0279,1,1
36,-96.00,22,24,0.0243,1,1
37,-163.99,8,200,0.0273,0,3
38,-88.50,10,16,0.0320,1,2
39,-1010.49,6,200,0.0272,0,0
40,-77.84,5,22,0.0220,1,3
41,-152.80,12,28,0.0311,1,2
42,-43.73,7,8,0.0365,1,1
43,-202.82,13,40,0.0287,1,2
44,-155.75,8,200,0.0285,0,4
45,-114.21,10,26,0.0259,1,1
46,-187.14,12,35,0.0298,1,3
47,-371.33,6,68,0.0292,1,2
48,-193.01,11,34,0.0336,1,5
49,-257.69,11,42,0.0338,1,2
50,-218.73,14,37,0.0321,1,4
51,-332.64,6,57,0.0334,1,3
52,-22.77,5,5,0.0353,1,1
53,-112.39,14,20,0.0327,1,2
54,-171.64,8,26,0.0353,1,2
55,-224.94,9,36,0.0349,1,2
56,-175.47,4,31,0.0326,1,4
57,-1221.09,8,200,0.0334,0,0
58,-136.93,11,22,0.0377,1,3
59,-278.67,28,50,0.0306,1,1
60,-179.13,6,34,0.0305,1,2
61,-149.78,7,29,0.0295,1,5
62,-221.52,12,39,0.0311,1,2
63,-260.48,10,44,0.0324,1,3
64,-271.73,19,46,0.0332,1,3
65,-697.38,8,109,0.0351,1,1
66,-122.78,12,200,0.0328,0,4
67,-354.65,7,61,0.0322,1,3
68,-416.31,9,74,0.0327,1,3
69,-441.88,14,86,0.0287,1,3
70,-249.73,30,46,0.0315,1,2
71,-555.87,26,85,0.0364,1,1
72,-1224.63,6,200,0.0337,0,0
73,-277.36,14,53,0.0308,1,3
74,-292.14,23,200,0.0350,0,2
75,-73.11,10,13,0.0348,1,3
76,-376.79,12,68,0.0303,1,2
77,-232.80,17,47,0.0285,1,4
78,-214.79,9,37,0.0337,1,3
79,-32.36,5,5,0.0428,1,1
80,-206.60,14,33,0.0362,1,1
81,-130.15,10,21,0.0372,1,2
82,-191.17,12,36,0.0309,1,1
83,-244.23,6,45,0.0312,1,6
84,-878.27,4,144,0.0334,1,1
85,-251.70,13,42,0.0344,1,3
86,-371.18,12,70,0.0290,1,1
87,-230.84,9,36,0.0358,1,5
88,-285.01,7,47,0.0328,1,1
89,-312.74,4,200,0.0327,0,4
90,-333.67,10,56,0.0332,1,3
91,-189.71,10,27,0.0396,1,2
92,-299.62,12,50,0.0334,1,1
93,-525.20,33,85,0.0334,1,2
94,-92.91,12,200,0.0310,0,7
95,-344.94,7,60,0.0322,1,2
96,-175.25,11,32,0.0310,1,4
97,-73.72,11,13,0.0352,1,2
98,-490.63,26,87,0.0307,1,1
99,-1209.00,20,200,0.0325,0,0
100,-100.78,11,17,0.0351,1,2
101,-196.62,12,200,0.0340,0,5
102,-160.52,21,28,0.0328,1,2
103,-117.56,13,22,0.0300,1,2
104,-183.86,10,29,0.0367,1,2
105,-319.62,12,48,0.0372,1,1
106,-193.42,7,32,0.0357,1,1
107,-307.19,10,51,0.0332,1,1
108,-347.31,7,58,0.0358,1,1
109,-193.27,15,34,0.0314,1,3
110,-392.08,5,70,0.0306,1,1
111,-304.33,9,51,0.0328,1,3
112,-423.88,19,63,0.0364,1,2
113,-275.63,11,48,0.0318,1,2
114,-132.64,11,200,0.0350,0,5
115,-293.60,42,49,0.0322,1,2
116,-273.89,35,46,0.0337,1,3
117,-361.00,12,66,0.0298,1,1
118,-569.70,8,87,0.0355,1,1
119,-276.92,16,49,0.0317,1,3
120,-267.41,7,45,0.0342,1,4
121,-187.01,18,33,0.0318,1,4
122,-139.43,16,23,0.0349,1,2
123,-308.87,7,52,0.0347,1,2
124,-149.26,19,33,0.0255,1,2
125,-1195.51,8,200,0.0319,0,0
126,-414.09,8,71,0.0318,1,1
127,-294.71,9,48,0.0339,1,1
128,-237.38,12,41,0.0335,1,1
129,-496.51,18,79,0.0343,1,1
130,-322.31,18,57,0.0319,1,2
131,-195.20,10,35,0.0314,1,3
132,-413.65,7,69,0.0342,1,2
133,-165.89,16,23,0.0410,1,2
134,-273.82,4,43,0.0359,1,2
135,-415.42,8,67,0.0338,1,1
136,-173.28,7,30,0.0340,1,4
137,-310.25,26,55,0.0318,1,1
138,-230.00,5,39,0.0327,1,2
139,-354.82,22,200,0.0325,0,4
140,-375.52,12,62,0.0340,1,4
141,-1200.78,23,200,0.0327,0,1
142,-127.06,19,200,0.0347,0,6
143,-249.79,12,45,0.0318,1,2
144,-184.73,11,30,0.0366,1,2
145,-286.56,10,48,0.0343,1,3
146,-129.40,20,22,0.0367,1,1
147,-139.47,4,26,0.0310,1,2
148,-290.69,11,49,0.0325,1,2
149,-129.48,7,200,0.0284,0,5
150,-224.24,10,38,0.0345,1,1
151,-226.39,6,38,0.0329,1,4
152,-382.63,8,67,0.0309,1,1
153,-172.37,14,28,0.0350,1,3
154,-227.28,4,40,0.0322,1,3
155,-233.81,5,35,0.0389,1,2
156,-197.86,9,32,0.0339,1,1
157,-219.90,10,40,0.0311,1,1
158,-435.43,6,69,0.0349,1,4
159,-161.91,12,28,0.0344,1,3
160,-115.18,4,24,0.0275,1,3
161,-257.70,8,42,0.0337,1,4
162,-545.69,8,89,0.0330,1,1
163,-201.27,7,200,0.0310,0,3
164,-219.76,8,41,0.0302,1,1
165,-116.98,10,20,0.0338,1,4
166,-256.36,10,47,0.0299,1,1
167,-214.89,4,34,0.0361,1,2
168,-407.93,11,68,0.0328,1,1
169,-270.10,6,46,0.0326,1,3
170,-214.57,8,35,0.0347,1,2
171,-444.13,4,73,0.0337,1,1
172,-85.77,14,15,0.0371,1,2
173,-232.51,5,41,0.0322,1,2
174,-216.90,6,36,0.0355,1,2
175,-346.61,15,64,0.0301,1,4
176,-269.92,8,46,0.0327,1,4
177,-248.79,13,48,0.0296,1,2
178,-224.78,9,40,0.0340,1,4
179,-505.99,7,80,0.0352,1,1
180,-505.62,6,83,0.0329,1,1
181,-273.33,9,50,0.0308,1,3
182,-360.29,7,59,0.0346,1,2
183,-111.44,10,20,0.0337,1,2
184,-136.43,11,27,0.0290,1,4
185,-266.82,7,46,0.0321,1,1
186,-196.58,16,34,0.0335,1,1
187,-53.95,4,10,0.0322,1,2
188,-278.73,25,46,0.0337,1,2
189,-111.06,7,17,0.0400,1,2
190,-212.91,7,38,0.0327,1,4
191,-159.34,10,26,0.0360,1,4
192,-285.39,10,49,0.0329,1,2
193,-162.25,20,30,0.0316,1,2
194,-141.41,17,24,0.0345,1,4
195,-191.99,15,31,0.0354,1,1
196,-339.40,21,56,0.0339,1,2
197,-82.95,5,14,0.0371,1,2
198,-384.41,10,62,0.0346,1,2
199,-253.55,8,46,0.0330,1,4
200,-195.91,6,32,0.0354,1,4
201,-445.76,15,74,0.0324,1,1
202,-378.21,8,61,0.0336,1,1
203,-399.40,9,60,0.0369,1,1
204,-158.59,13,25,0.0360,1,3
205,-167.15,14,28,0.0333,1,4
206,-309.05,7,55,0.0320,1,1
207,-120.20,9,22,0.0329,1,2
208,-389.53,8,61,0.0362,1,1
209,-92.27,9,20,0.0279,1,2
210,-258.95,10,42,0.0334,1,1
211,-303.11,4,45,0.0407,1,1
212,-296.06,11,52,0.0327,1,2
213,-168.79,9,30,0.0328,1,2
214,-176.19,22,200,0.0328,0,5
215,-153.02,8,21,0.0442,1,3
216,-405.26,18,61,0.0368,1,1
217,-407.48,41,70,0.0321,1,3
218,-353.79,13,56,0.0366,1,1
219,-1241.52,18,200,0.0340,0,0
220,-269.32,8,44,0.0341,1,2
221,-74.37,10,15,0.0317,1,4
222,-314.21,12,53,0.0334,1,1
223,-394.41,8,65,0.0339,1,1
224,-307.97,6,55,0.0314,1,4
225,-300.07,8,50,0.0336,1,1
226,-383.53,58,61,0.0338,1,1
227,-357.69,48,64,0.0319,1,2
228,-249.47,7,41,0.0360,1,1
229,-152.34,7,28,0.0313,1,3
230,-293.28,18,48,0.0357,1,1
231,-344.58,25,61,0.0318,1,1
232,-406.92,6,69,0.0334,1,3
233,-184.37,21,31,0.0332,1,3
234,-210.54,8,38,0.0325,1,4
235,-259.17,11,41,0.0378,1,3
236,-288.00,19,49,0.0349,1,2
237,-339.37,27,54,0.0350,1,3
238,-317.73,9,56,0.0323,1,1
239,-387.78,24,67,0.0330,1,4
240,-488.39,7,79,0.0346,1,1
241,-454.98,8,72,0.0343,1,1
242,-356.36,13,60,0.0351,1,1
243,-498.15,8,86,0.0321,1,1
244,-314.38,19,54,0.0330,1,1
245,-174.39,11,33,0.0304,1,3
246,-268.38,5,44,0.0337,1,4
247,-517.19,21,85,0.0335,1,1
248,-1211.98,13,200,0.0334,0,0
249,-73.84,11,14,0.0302,1,1
250,-429.24,12,66,0.0375,1,1
251,-265.57,5,48,0.0316,1,4
252,-366.03,11,61,0.0332,1,2
253,-163.15,15,27,0.0344,1,3
254,-257.21,10,200,0.0324,0,5
255,-259.62,10,46,0.0321,1,2
256,-205.19,21,35,0.0351,1,2
257,-248.90,8,38,0.0389,1,2
258,-207.69,13,34,0.0344,1,3
259,-562.63,4,90,0.0342,1,1
260,-1176.10,5,200,0.0324,0,0
261,-138.94,5,25,0.0338,1,2
262,-326.95,47,52,0.0370,1,2
263,-360.91,16,65,0.0314,1,1
264,-305.26,10,52,0.0343,1,1
265,-214.28,9,41,0.0316,1,2
266,-184.94,13,36,0.0326,1,5
267,-145.86,5,200,0.0361,0,6
268,-628.28,15,110,0.0333,1,1
269,-182.99,7,29,0.0390,1,1
270,-236.76,10,200,0.0329,0,5
271,-292.39,12,56,0.0313,1,2
272,-117.35,13,24,0.0312,1,4
