episode,reward,mttd,mttr,fpr,csr,compromised
1,-106.34,9,26,0.0277,1,1
2,-142.89,10,28,0.0310,1,1
3,-167.52,6,30,0.0320,1,1
4,-108.21,5,33,0.0249,1,3
5,-56.05,7,20,0.0258,1,1
6,-52.14,10,200,0.0201,0,4
7,-887.29,9,200,0.0280,0,0
8,-962.96,5,200,0.0295,0,0
9,-93.22,8,16,0.0372,1,1
10,-1017.41,7,200,0.0302,0,0
11,-907.45,8,200,0.0277,0,0
12,-782.06,11,200,0.0248,0,0
13,-806.82,8,200,0.0255,0,0
14,-113.60,9,26,0.0297,1,1
15,-144.79,8,29,0.0308,1,1
16,-86.85,9,200,0.0292,0,4
17,-105.77,8,26,0.0253,1,1
18,-66.79,5,17,0.0264,1,1
19,-964.31,19,200,0.0274,0,0
20,-138.75,5,39,0.0259,1,2
21,-67.56,6,200,0.0259,0,5
22,-63.59,11,200,0.0250,0,8
23,-163.14,7,41,0.0294,1,1
24,-81.59,10,21,0.0256,1,1
25,-914.65,6,200,0.0280,0,0
26,-60.14,14,15,0.0269,1,1
27,-76.28,10,200,0.0270,0,3
28,-870.71,9,200,0.0267,0,0
29,-117.88,5,26,0.0298,1,1
30,-154.29,4,41,0.0254,1,1
31,-186.46,7,36,0.0318,1,1
32,-105.25,9,23,0.0302,1,1
33,-90.59,9,200,0.0291,0,6
34,-69.76,10,21,0.0239,1,1
35,-901.34,9,200,0.0282,0,0
36,-927.13,16,200,0.0291,0,0
37,-102.08,11,32,0.0257,1,2
38,-163.49,15,35,0.0308,1,1
39,-105.83,8,32,0.0231,1,1
40,-122.97,12,31,0.0309,1,1
41,-66.04,8,200,0.0268,0,5
42,-125.51,6,39,0.0234,1,1
43,-24.22,6,10,0.0210,1,1
44,-78.29,7,19,0.0299,1,1
45,-124.82,9,36,0.0247,1,1
46,-122.26,5,28,0.0322,1,1
47,-812.84,6,200,0.0253,0,0
48,-122.56,5,40,0.0217,1,1
49,-808.55,14,200,0.0255,0,0
50,-124.65,10,35,0.0285,1,1
51,-114.49,30,32,0.0241,1,1
52,-84.98,6,26,0.0212,1,2
53,-760.74,17,200,0.0241,0,0
54,-621.66,8,200,0.0209,0,0
55,-770.54,8,200,0.0240,0,0
56,-44.23,8,20,0.0205,1,2
57,-91.98,12,30,0.0258,1,1
58,-65.06,12,23,0.0245,1,2
59,-37.14,6,11,0.0227,1,1
60,-26.65,9,14,0.0184,1,2
61,-154.21,10,53,0.0243,1,1
62,-45.08,4,200,0.0130,0,2
63,-40.49,6,14,0.0229,1,1
64,-63.72,6,200,0.0238,0,5
65,-17.05,11,16,0.0195,1,1
66,-581.39,14,200,0.0204,0,0
67,-83.10,14,42,0.0175,1,1
68,-452.04,9,200,0.0188,0,0
69,-20.49,9,11,0.0165,1,1
70,-512.21,10,200,0.0187,0,0
71,-483.25,5,200,0.0183,0,0
72,-48.11,13,23,0.0215,1,2
73,-113.56,7,68,0.0159,1,1
74,-469.28,6,200,0.0174,0,0
75,-114.72,4,68,0.0152,1,1
76,-433.47,5,200,0.0173,0,0
77,-8.82,5,5,0.0250,1,1
78,-86.03,11,52,0.0165,1,1
79,-18.82,5,5,0.0280,1,1
80,-31.88,8,28,0.0140,1,1
81,-19.45,6,9,0.0197,1,1
82,-241.22,6,125,0.0157,1,1
83,-15.50,11,13,0.0146,1,1
84,-115.69,8,49,0.0188,1,1
85,-153.44,11,65,0.0184,1,1
86,-73.69,5,32,0.0177,1,1
87,-31.46,7,200,0.0139,0,2
88,-43.23,15,200,0.0139,0,3
89,-102.95,26,65,0.0159,1,1
90,-97.30,10,57,0.0151,1,1
91,-372.02,12,200,0.0149,0,0
92,-392.98,11,200,0.0167,0,0
93,-19.19,5,11,0.0141,1,1
