episode,reward,mttd,mttr,fpr,csr,compromised
1,-155.92,14,51,0.0232,1,1
2,-156.21,16,40,0.0242,1,1
3,-30.74,12,12,0.0229,1,2
4,-925.38,6,200,0.0295,0,0
5,-149.39,8,32,0.0342,1,1
6,-164.57,9,38,0.0298,1,1
7,-71.74,13,16,0.0325,1,2
8,-112.62,27,28,0.0270,1,1
9,-26.70,4,12,0.0188,1,2
10,-128.65,7,28,0.0302,1,1
11,-64.14,6,15,0.0331,1,1
12,-122.75,7,200,0.0294,0,3
13,-34.26,5,15,0.0186,1,1
14,-103.70,9,200,0.0281,0,3
15,-81.16,12,200,0.0295,0,3
16,-185.19,7,44,0.0258,1,1
17,-100.93,8,27,0.0246,1,1
18,-55.86,8,12,0.0340,1,1
19,-962.49,7,200,0.0286,0,0
20,-151.46,11,42,0.0234,1,1
21,-48.34,7,14,0.0246,1,3
22,-219.95,26,48,0.0294,1,1
23,-50.43,7,19,0.0200,1,1
24,-834.09,7,200,0.0257,0,0
25,-96.07,9,18,0.0323,1,1
26,-97.75,22,200,0.0188,0,7
27,-87.84,6,200,0.0312,0,5
28,-118.39,22,28,0.0265,1,1
29,-234.31,8,47,0.0297,1,1
30,-54.62,11,11,0.0332,1,1
31,-118.78,5,22,0.0344,1,2
32,-77.74,22,22,0.0253,1,2
33,-102.97,4,26,0.0283,1,1
34,-66.02,10,17,0.0275,1,2
35,-131.26,10,29,0.0307,1,2
36,-76.34,8,24,0.0248,1,1
37,-75.12,10,26,0.0213,1,2
38,-115.33,13,29,0.0281,1,4
39,-24.82,4,4,0.0473,1,1
40,-92.00,8,24,0.0258,1,2
41,-37.00,6,8,0.0320,1,3
42,-54.99,7,200,0.0193,0,4
43,-199.14,8,46,0.0284,1,2
44,-52.60,17,200,0.0182,0,5
45,-107.33,11,21,0.0342,1,1
46,-113.71,9,28,0.0263,1,2
47,-169.08,9,37,0.0278,1,1
48,-203.50,6,39,0.0308,1,1
49,-115.17,12,29,0.0272,1,1
50,-85.87,10,200,0.0328,0,3
51,-37.92,7,15,0.0242,1,2
52,-113.03,9,27,0.0293,1,1
53,-888.00,10,200,0.0268,0,0
54,-78.85,10,18,0.0322,1,2
55,-223.14,11,58,0.0233,1,1
56,-60.03,4,18,0.0250,1,1
57,-87.29,6,23,0.0255,1,1
58,-88.82,14,25,0.0255,1,1
59,-155.55,5,42,0.0247,1,1
60,-65.08,4,22,0.0238,1,2
61,-64.00,5,20,0.0238,1,1
62,-89.08,13,22,0.0256,1,1
63,-852.07,7,200,0.0262,0,0
64,-348.20,7,90,0.0258,1,1
65,-57.50,10,19,0.0227,1,1
66,-69.05,9,24,0.0211,1,2
67,-80.34,9,20,0.0292,1,1
68,-65.61,7,16,0.0275,1,3
69,-34.74,9,12,0.0262,1,2
70,-162.87,9,59,0.0204,1,1
71,-74.59,7,23,0.0248,1,2
72,-80.35,7,20,0.0250,1,1
