Device: cpu, Seed: 42
Starting training: 10000 episodes, K=10
============================================================
Episode    100 | Avg Reward:  -110.14 | MTTD: 101 | MTTR: 200 | FPR: 0.221 | CSR: 0
Episode    200 | Avg Reward:   -16.56 | MTTD:  16 | MTTR: 200 | FPR: 0.211 | CSR: 0
Episode    300 | Avg Reward:    -8.96 | MTTD:   8 | MTTR: 200 | FPR: 0.144 | CSR: 0
Episode    400 | Avg Reward:    -4.51 | MTTD:   8 | MTTR: 200 | FPR: 0.144 | CSR: 0
Episode    500 | Avg Reward:    -3.16 | MTTD:   9 | MTTR:  60 | FPR: 0.277 | CSR: 1
Episode    600 | Avg Reward:    -2.21 | MTTD:  28 | MTTR: 161 | FPR: 0.077 | CSR: 1
Episode    700 | Avg Reward:    -0.89 | MTTD:   5 | MTTR:  73 | FPR: 0.452 | CSR: 1
Episode    800 | Avg Reward:     0.58 | MTTD:  18 | MTTR: 200 | FPR: 0.263 | CSR: 0
Episode    900 | Avg Reward:    -3.04 | MTTD:  11 | MTTR: 200 | FPR: 0.124 | CSR: 0
Episode   1000 | Avg Reward:    -1.85 | MTTD:   5 | MTTR: 107 | FPR: 0.136 | CSR: 1
Episode   1100 | Avg Reward:     0.71 | MTTD:   9 | MTTR: 200 | FPR: 0.300 | CSR: 0
Episode   1200 | Avg Reward:     1.27 | MTTD:   9 | MTTR: 200 | FPR: 0.131 | CSR: 0
Episode   1300 | Avg Reward:     1.90 | MTTD:   4 | MTTR:  42 | FPR: 0.103 | CSR: 1
Episode   1400 | Avg Reward:     3.77 | MTTD:   9 | MTTR: 200 | FPR: 0.000 | CSR: 0
Episode   1500 | Avg Reward:     2.73 | MTTD:  11 | MTTR: 200 | FPR: 0.106 | CSR: 0
Episode   1600 | Avg Reward:     0.77 | MTTD:  10 | MTTR:  26 | FPR: 0.000 | CSR: 1
Episode   1700 | Avg Reward:     2.28 | MTTD:   7 | MTTR:  55 | FPR: 0.194 | CSR: 1
Episode   1800 | Avg Reward:     2.22 | MTTD:  13 | MTTR:  43 | FPR: 0.130 | CSR: 1
